userWallet,num_actions,num_deposits,num_borrows,num_repays,num_redeems,num_liquidations,total_deposit,total_borrow,total_repay,total_redeem,repay_to_borrow_ratio,net_flow,active_days,time_span_days,unique_assets_used
0x000bc61d0a2dfee19346ad4d1fce2fa3c099e0cb,77,49,0,0,28,0,2.2002139414592373e+20,0.0,0.0,1.708838020467324e+20,0.0,4.9137592099191325e+19,35,124,8
0x000c8e2871750f458bf1de8ab528dda09bc95db6,4,1,1,1,1,0,1.5e+22,2.356e+21,2.356e+21,1.5e+22,1.0,0.0,1,1,2
0x000cdb5d7a2cda2947603f2993f05db57e3197dc,71,20,20,17,14,0,7.132457629292885e+16,971000000.0,921516338.0,6.632811421677889e+16,0.9490384531410917,4996462076149960.0,32,67,4
0x000cef8f0ab0a2fadbecaeb92e8781ab3e04b01e,6,4,1,1,0,0,2.00272e+20,40000000.0,40108150.0,0.0,1.00270375,2.00272e+20,3,31,2
0x000d0ccd6b0e27ce38018b1304ef4f2cd345b636,1,1,0,0,0,0,1000000000000000.0,0.0,0.0,0.0,0.0,1000000000000000.0,1,1,1
0x000dd5baf04ffe492508f5f45ac3d9374b193f57,1,1,0,0,0,0,1e+17,0.0,0.0,0.0,0.0,1e+17,1,1,1
0x000deb0c92e6d3da7f77ed01b8473b3f7f4efc39,8,1,3,2,2,0,2.825690193363728e+17,879000000.0,501890779.0,502090425.0,0.5709792707622298,2.8256901883428237e+17,4,81,3
0x000df66a4ac5991f672ae2db1e8fc38f1e7d46d9,8,6,0,0,2,0,2.132617238514029e+18,0.0,0.0,1.0600081746475558e+18,0.0,1.0726090638664732e+18,7,21,2
0x000e840a3122ec28d0c29321db172375cb049762,10,5,2,2,1,0,3.837084420447951e+20,216908607.0,217048025.0,267358748.0,1.0006427499670403,3.8370844204452774e+20,5,27,2
0x000e9bd1d42999446d60ff60f1fb3afb13604202,22,8,6,4,4,0,1.811265598809861e+19,35000000.0,35002269.0,1.1265599280089797e+17,1.0000648285714286,1.7999999995297712e+19,3,2,3
0x000eab293e332bd6e67018a9150e8807bfac3233,1,1,0,0,0,0,1.2e+18,0.0,0.0,0.0,0.0,1.2e+18,1,1,1
0x000f3b3cba440b4bd611d2ac4b6271400fb1e4e1,2,1,0,0,1,0,5.6e+19,0.0,0.0,5.609234352742851e+19,0.0,-9.23435274285138e+16,2,16,2
0x000f4432a40560bbff1b581a8b7aded8dab80026,25,7,6,3,9,0,9.284729019012137e+18,17600000000.0,17614321013.0,9.073875776321742e+20,1.0008136939204546,-8.981028486131622e+20,6,19,4
0x000f7f22bfc28d940d4b68e13213ab17cf107790,73,26,19,13,15,0,4.08263235352715e+25,3.431034019342126e+25,3.4316052331607702e+25,4.07574648181985e+25,1.000166484452041,6.885871707299875e+22,3,3,5
0x000f908720f9ce164d90f4fc89459fab4442907f,96,32,30,17,17,0,1.5296965019179294e+21,7.935281590685301e+20,7.935551142167784e+20,1.529758635045204e+21,1.0000339687356272,-6.213312727456154e+16,2,2,2
0x000fbfec300959d0f2f327728a889c1f5de8e2df,8,3,1,1,3,0,5.93233163408689e+20,1.4e+20,1.4004910116409685e+20,3.5e+20,1.0003507226006918,2.4323316340868894e+20,4,9,2
0x0011730224657eb527cf736039854c3a3f140e63,4,1,1,1,1,0,4.5e+21,7.39e+20,7.39e+20,4.5e+21,1.0,0.0,1,1,2
0x00120ea6fdbaf057eadc1bd149f957488444e92c,4,2,1,1,0,0,2.3675989569912272e+20,2608976.0,2608976.0,0.0,1.0,2.3675989569912272e+20,1,1,2
0x0012668072f7e0579caf7e047713d8b6d476d0db,2,2,0,0,0,0,3e+18,0.0,0.0,0.0,0.0,3e+18,2,3,1
0x00129c4ce6be31b273de64c65ff3fcdd4706a002,231,101,24,93,11,2,1.1486621116412448e+22,4.923462755854999e+21,9.33385959030951e+20,9.110069637323651e+18,0.189579165176169,1.1477511046775125e+22,31,63,7
0x0012a7f00af8a643ba5a6aa187f915b4c13289df,1,0,0,0,1,0,0.0,0.0,0.0,5000954281830769.0,0.0,-5000954281830769.0,1,1,1
0x00130437654e7e86cbbeeaf34f4771df6a1fb45c,1,1,0,0,0,0,9.26e+16,0.0,0.0,0.0,0.0,9.26e+16,1,1,1
0x00133f29e7d424f4e5773532b3fc35d020e9c54e,2,2,0,0,0,0,2455392.0,0.0,0.0,0.0,0.0,2455392.0,2,7,1
0x0014dfac19477a83d7354e6eaac28642c1959398,36,10,6,9,11,0,1.6993360966012305e+20,18156827224.0,18162323503.0,1.6993578825247844e+20,1.0003027114226617,-2178592355385344.0,12,31,3
0x001589fe1923c2118f34e4277f2ef650fcbf0161,30,19,2,0,9,0,4.14069156227058e+21,9.433796318126906e+20,0.0,2.1721695253727383e+21,0.0,1.9685220368978414e+21,18,133,5
0x00159370cbe576b765a7fb2e78582e0cb563d445,19,10,7,0,2,0,1.437821754944003e+21,4.7553367600059154e+20,0.0,1.07327e+21,0.0,3.645517549440029e+20,9,21,5
0x0015b3f0266cd7b1f4105cf8180d37e7bd0ccead,2,1,0,0,1,0,14127252.0,0.0,0.0,14127276.0,0.0,-24.0,1,1,1
0x0016469a65facda9e86fd0ae0e9661128843c224,2,1,1,0,0,0,2.21e+16,5000000000000000.0,0.0,0.0,0.0,2.21e+16,1,1,1
0x0016dcd1d3c93067dce5bb30dc33258f36d33308,1,1,0,0,0,0,9.63e+16,0.0,0.0,0.0,0.0,9.63e+16,1,1,1
0x00183135585d70a523d61b2e43037a7138b36906,54,15,13,10,16,0,1.5304922101147495e+21,1.4200272528224158e+21,6.407402824712977e+17,6.442576251247264e+20,0.0004512168912235846,8.862345849900232e+20,21,58,6
0x00184e8aa1e95f491f2d9601e12b540092160ded,4,1,1,1,1,0,1.0235e+20,6.1e+19,6.1e+19,1.0235e+20,1.0,0.0,1,1,2
0x0018583d7654803d2c59467e10dec5f70bbe1851,72,72,0,0,0,0,260000000000460.0,0.0,0.0,0.0,0.0,260000000000460.0,11,23,3
0x001875a076b3cfe1c9535d76b0345c16e3d61118,2,2,0,0,0,0,2200000.0,0.0,0.0,0.0,0.0,2200000.0,2,6,1
0x0018d044b946ede86b43bb3b964a45772a5abeb9,22,9,2,2,9,0,1.462827654263013e+19,1121816.0,1121820.0,1.4787763799382061e+19,1.0000035656471293,-1.594872567519314e+17,8,54,3
0x0019971fb18fbfc9108d90eb2cdd4d5a0a897eee,5,0,1,2,2,0,0.0,79209353.0,158517071.0,1.873686683952476e+20,2.001241835670593,-1.873686683952476e+20,2,15,3
0x0019bd9f6142943f3a03a8a62d0001a95213f555,1,1,0,0,0,0,1e+17,0.0,0.0,0.0,0.0,1e+17,1,1,1
0x001b024b98ee862aa01eea595c4c16a0213d2611,2,1,1,0,0,0,4.118976558352786e+17,500000000.0,0.0,0.0,0.0,4.118976558352786e+17,1,1,2
0x001bc3cfc3eed892dd6de07807333f2b05c5b4e9,32,10,6,7,9,0,3.914713099487479e+19,234424601.0,234555105.0,331228407.0,1.0005566992518844,3.914713099454357e+19,6,24,3
0x001bc97d92e1a30b02d4e75be25f06063555d556,45,12,10,9,14,0,1.1484504979413797e+23,54452832761.0,54495849398.0,9.918519322967732e+22,1.0007899797828481,1.5659856564460649e+22,5,10,4
0x001be549fa377710b9e59d57bbdf593ce1e379ca,2,2,0,0,0,0,6240750099327031.0,0.0,0.0,0.0,0.0,6240750099327031.0,2,21,2
0x001c88d92d199c9eb936ed3d6758da7c48e4d08e,2,2,0,0,0,0,2.0000000000000097e+18,0.0,0.0,0.0,0.0,2.0000000000000097e+18,2,10,2
0x001d2a3192a49e28cac0a7abcaa916648c62b982,1,1,0,0,0,0,6461144026105417.0,0.0,0.0,0.0,0.0,6461144026105417.0,1,1,1
0x001d4aa3f14b6e0019e5615e9c8eb50659061220,1,1,0,0,0,0,1109087.0,0.0,0.0,0.0,0.0,1109087.0,1,1,1
0x001f96b7e19a54ae45f451b0148336504d03fdcf,1,1,0,0,0,0,18485.0,0.0,0.0,0.0,0.0,18485.0,1,1,1
0x001fbfc5e2b56d372d642f5f1b52b5cde4584779,6,5,0,0,1,0,9.189004126574749e+20,0.0,0.0,3e+20,0.0,6.189004126574749e+20,5,69,2
0x00202f8f6bb6f100241ce0726922f2bd4c7196ee,1,1,0,0,0,0,23783.0,0.0,0.0,0.0,0.0,23783.0,1,1,1
